69052 4
9800	2004	163	125000
1500	2001	75	150000
3600	2008	69	90000
2200	2004	109	150000
14500	2014	125	30000
2000	2004	105	150000
2799	2005	140	150000
17999	2011	190	70000
1750	2004	75	150000
7550	2007	136	150000
1850	2004	102	150000
10400	2009	160	100000
3699	2002	231	150000
2500	2002	193	150000
6900	2008	99	60000
18000	2007	218	20000
3500	2004	122	150000
11900	2002	129	150000
12500	2006	231	150000
6990	2007	95	100000
3900	2008	61	80000
7999	2007	177	150000
13500	2012	109	150000
14800	2008	170	125000
7999	2008	143	150000
39600	2014	306	30000
3000	2006	61	80000
7499	2004	232	150000
5500	2010	60	70000
7000	2006	105	100000
14999	2007	218	50000
9700	2008	160	150000
7999	2008	156	150000
6600	2006	105	150000
7999	2013	80	40000
1400	2003	82	150000
5000	2006	109	150000
20300	2010	204	80000
3300	2005	150	150000
8000	2005	185	150000
1800	2001	87	150000
6800	2009	82	60000
2990	2004	113	150000
14500	2013	86	60000
3850	2003	131	150000
23490	2013	143	40000
1500	2006	109	150000
22999	2012	303	50000
6500	2004	163	150000
7300	2009	235	100000
8599	2006	200	125000
5900	2005	178	150000
6300	2002	265	150000
5950	2006	163	150000
1699	2003	77	150000
9290	2010	86	40000
7000	2003	120	150000
1750	2002	75	125000
1100	2003	75	150000
2990	2001	170	150000
2750	2001	131	150000
6990	2012	75	100000
14499	2007	170	125000
4300	2005	90	150000
2499	2003	110	150000
3450	2007	120	150000
8250	2010	109	125000
41900	2014	204	40000
4200	2003	204	150000
4000	2003	163	150000
9450	2004	170	150000
6890	2003	170	125000
7500	2007	194	5000
8500	2007	131	150000
3200	2004	64	80000
11890	2011	116	150000
19750	2006	305	50000
9800	2006	150	60000
1990	2003	80	125000
10500	2006	150	150000
11000	2012	131	70000
16449	2015	110	10000
14300	2011	120	60000
5999	2009	80	125000
3700	2003	179	150000
8999	2007	105	90000
13400	2008	170	100000
4900	2006	102	150000
11299	2006	250	150000
1400	2006	88	150000
9500	2011	131	150000
1350	2002	60	150000
11000	2006	231	150000
6900	2006	163	100000
12999	2008	179	150000
18400	2011	313	150000
12899	2009	140	150000
10500	2010	143	150000
8500	2010	80	50000
14900	2007	265	150000
8600	2007	197	150000
11800	2005	218	150000
4000	2008	115	125000
4650	2005	150	150000
2800	2004	75	100000
5499	2004	122	150000
22290	2013	150	50000
1440	2003	109	150000
15700	2011	170	90000
9200	2006	150	150000
2700	2006	75	125000
9800	2008	140	150000
14700	2012	211	60000
6799	2002	286	150000
11919	2012	90	30000
